
ԱԳՐԵՍԻԱ	 մեկ կամ մի քանի երկրների զինված հարձակում այլ երկրի կամ երկրների վրա նվաճողական նպատակներով: 
ԲԵԿՈՐ	 զենքերից արձակված կամ ձեռքով նետված խոցող միջոցի (քար, արկ, ական,  նռնակ, ավիառումբ ևն) պայթյունի կամ մասնատման արդյունքում կոտրված կարծր առարկա՝ հակառակորդի կենդանի ուժի և կրակային միջոցների ոչնչացման կամ խոցման համար:   Պայթած բեկորներով խոցելու համար նախատեսված միջոցները կոչվում են բեկորային: 
ԲԵՐԴ	 մշտական շրջանաձև պաշտպանության համար կառուցված ամրություն, որը լայն  տարածում է ստացել միջնադարում, ամրոց: 
ԲԼԻՆԴԱԺ	 պաշտպանական կառուցվածք, հրետանային կրակից և ռմբակոծությունից   պաշտպանվելու ամուր ծածկով ապաստարան: 
ԲՆԱԳԻԾ	 պաշտպանական ամրությունների և ելման դիրքերի գիծը: 
ԲՌՆԱԿ	 շեղբավոր սառը զենքի մաս, կազմված է բռնակից, խաչարդից, երախակալից ևն: 
ԲՐԻԳԱԴ	 մի քանի գնդերից, գումարտակներից ու մարտկոցներից բաղկացած միավորում:  
ԳԱՂՏՆԻՔ	 հրապարակման համար չնախատեսված տեղեկություն: 
ԳԱՅԼԱՓՈՍ	 երբեմն հատակին սրածայր ցցերով հատած կոնի տեսքով փոս: Հակահետևակային արգելափակոցի տեսակ: 
ԳԱՐԳԱՄԱԿ	 ծագումն ու ճիշտ նշանակությունը հայտնի չեն: Բառարանները բացատրում են իբրև սաղավարտի (խույրի) վրայի զարդ: Կարող է կիրառվել Գ-ով գլխանոցն ու սաղավարտը մեկ բառով նկարագրելու համար: Գ-ը ոսկուց կամ արծաթից շինված արծիվ էր, որ գլխի (սաղավարտի) վրա կրում էին իբրև գլխի պատիվ: 
ԳԵՆԵՐԱԼ	 բարձրաստիճան սպաների զինվորական կոչում: Առաջին անգամ հայտնվել է  Ֆրանսիայում XVI դ.: 
ԳԵՆԵՐԱԼ-ՖԵԼԴՄԱՐՇԱԼ	 ռուսական, գերմանական և ավստրիական բանակներում բարձրաստիճան սպաների զինվորական կոչում: Մտցվել է Պրուսիայում XVI դ.: Որոշ երկրներում   համապատասխանում է մարշալի աստիճանին: 
ԳԵՏԱՆՑՈՒՄ	 զորքերի կողմից ջրային արգելքի հաղթահարումը: 
ԳԵՏԱՆՑՄԱՆ ՏԵՂԱՄԱՍ	 ջրային արգելքը հաղթահարելու տեղամաս: 
ԳԵՐԱԶԱՆՑՈՒԹՅՈՒՆ ՀԱԿԱՌԱԿՈՐԴԻ ՆԿԱՏՄԱՄԲ	 գլխավորապես զորքերի (ուժերի) թվաքանակի, նրանց հանդերձանքի և ապահովման, բարոյական վիճակի, մարտական գործողություններ վարելու արվեստով մարտում և օպերացիայի ժամանակ հակառակորդի նկատմամբ ունեցած առավելությունը: 
ԳԵՐԻ	 պատերազմի ժամանակ թշնամու ձեռքն ընկած և ազատությունից զրկված մարդ: 
ԳԼԽԱՎՈՐ ՀԱՐՎԱԾ	 դիմադրող հակառակորդին ջախջախիչ հարված հասցնելու և օպերացիայում (մարտում) տրված առաջադրանքը կատարելու նպատակով ընտրված ուղղությամբ (շրջանում) զորքերի (ուժերի) հարձակողական գործողություններ: 
ԳԼԽԱՎՈՐ ՇՏԱԲ	 պետության զորքերը (զինված ուժերը) ղեկավարող օրգան: 
ԳԼԽԱՅԻՆ ՋՈԿԱՏ	 առաջապահ ուժերի կողմից առանձնացվող երթային պահպանության   օրգան, որն ուղարկվում է նրա անխափան տեղաշարժն ապահովելու, նրա վրա հանկարծակի հարձակումը կանխելու և բացազատվելու ու մարտի մեջ մտնելու նպաստավոր պայմաններ ստեղծելու առաջադրանքով: Տեղանքի առանձնահատկություններից ելնելով` առաջապահ ուժերի հրամանատարը կարող էր հաճախակի փոխել ԳՋ կազմը, որի պատճառով   սխեմաներում (սխեմատիկ պատկերներում) չենք առանձնացրել վերջիններիս կազմից: 
ԳԼԽԱՎՈՐ ՈՒԺԵՐ	 օպերացիայում (մարտում) գլխավոր խնդիրներ կատարելու համար  նախատեսված միավորման (զորամասի) հիմնական ուժերի և միջոցների խմբավորում: 
ԳՈՅԱՄԱՐՏ	 անհատի, ազգային, մշակութային կամ կրոնական խմբավորման կողմից անբարենպաստ պայմաններում (ագրեսիվ կամ թշնաբար տրամադրված միջավայրում) կյանքի (գոյության) համար մղվող պայքար: Վերջին շրջանի առավել տիպական գոյամարտերից   է Արցախյանը (1990-1994թթ.): 
ԳՆԴԱԿ	 հրաձգային, ինչպես նաև որսորդական և սպորտային զենքի փամփուշտի գլխային (դուրս նետվող) մասը: Հարթափող զենքի համար առաջին Գ-ը (XIV-XVդդ.) կապարից էր,  գնդաձև (այստեղից էլ` հայերենում ընդունված Գ. անվանումը): Խոցող ուժը կախված է  Գ. ձևից, խոցման հեռավորությունից և ներքին լրացուցիչ հանդերձանքից: Ամրացվում է   փամփուշտի պարկուճի մեջ: 
ՍՈՎՈՐԱԿԱՆ Գ.	 նախատեսված է հակառակորդի կենդանի ուժը խոցելու համար: Սովորական Գ-ը կազմված է պատյանից և միջուկից: Պողպատյա միջուկ ունեցող Գ. պատյանի և  միջուկի միջև դրվում է միջնորմը (կապարե շապիկ): 
ՀԱՏՈՒԿ ՆՇԱՆԱԿՈՒԹՅԱՆ Գ.	 կենդանի ուժը խոցելուց բացի, ունի նաև այլ նշանակություն: Հատուկ նշանակության Գ. են լուսածրող, հրկիզող, զրահահար, զրահահար հրկիզող,   զրահահար հրկիզող լուսածրող, նշանափորձիչ հրկիզող, փոքրացված սկզբնական արագությամբ Գ.: 
ԳՆԴԱԿԻ ԽՈՑԵԼԻՈՒԹՅՈՒՆ	 բնութագրվում է նպատակին հանդիպելու պահին նրա ունեցած էներգիայով: 
ԳՆԴԱԿԻ ՍԿԶԲՆԱԿԱՆ ԱՐԱԳՈՒԹՅՈՒՆ	 գնդակի շարժման արագությունը փողաբերանի   մոտ: ԳՍԱ զենքի մարտական հնարավորությունների կարևորագույն բնութագրերից է: Մեծացնելով ԳՍԱ մեծանում է գնդակի թռիչքի հեռավորությունը, հարվածող և ծակող ազդեցությունը, փոքրանում է թռիչքի ժամանակ արտաքին պայմանների ազդեցությունը: 
ԳՆԴԱԿԻ ՎԵՐՋՆԱԿԱՆ ԱՐԱԳՈՒԹՅՈՒՆ	 կոչվում է գնդակի (նռնակի) անկման կետում ունեցած արագությունը: 
ԳՆԴԱՊԵՏ	 ավագ սպայական զինվորական կոչում: Համապատասխանում է գնդի հրամանատարի պաշտոնին: 
ԳՆԴԱՑԻՐ	 ցամաքային և օդային, գլխավորապես, կենդանի նշանակետերը խոցող արագաձիգ ավտոմատ զենք: 
ՄԻԱՍՆԱԿԱՆ Գ.	 գնդացիր, որից հրաձգությունը կարելի է վարել թե՛ հաստոցից և թե՛ հենակներից: ՄԳ-ն սպասարկում է երկու հոգուց կազմված հաշվարկը:  
ՀԱՍՏՈՑԱՎՈՐ Գ.	 հատուկ հաստոցի կամ կայանքի վրայից կրակի համար նախատեսված Գ.: Հաստոցավոր առաջին Գ-ը, որն իրեն լիովի արդարացրեց 1899-1902թթ. անգլո-բուրական պատերազմում և այնուհետև առանց լուրջ փոփոխությունների ընդունվեց գրեթե բոլոր երկրների բանակների սպառազինության մեջ, ամերիկացի գյուտարար Հ.Մաքսիմի Գ. էր:  
ՁԵՌՔԻ Գ.	 ձեռքի հրաձգության ժամանակ հրաձիգի կողմից պահվող Գ.: Հիմնականում մշակվում են ավտոմատների (գրոհային հրացանների) հիմքի վրա և դրանցից տարբերվում են հենակների առկայությամբ, երկարատև հրաձգության համար նախատեսված ծանր փողով և տարողունակ փամփշտատուփով: ՁԳ առաջին նմուշներից առավել արդյունավետը և տարածում գտածը անգլիական «Լյուիսի» ձեռքի Գ. էր (1915թ.):  
ՄԵԾ ՏՐԱՄԱՉԱՓԻ Գ.	 հզոր ավտոմատ զենք է: Նախատեսված է թույլ զրահավորված նպատակների և կրակային միջոցների դեմ պայքարելու համար, ինչպես նաև հակառակորդի կենդանի ուժը ոչնչացնելու և օդային նպատակները խոցելու համար: ՄԳ-ով զինվում են հետևակը և մարտական տեխնիկան: 
ԳՐՈՀ	 ուժերի գերլարումով վճռական հարձակում հակառակորդի վրա առավելագույն   արագությամբ: Այն հարձակման առավել վճռական պահն է և վարվում է բարձր տեմպով՝   գրոհողների ուժերի լրիվ լարմամբ: Գ. հաջողությունը մեծապես ապահովվում է համառությամբ, գրոհողների գործողությունների հանդգնությամբ, հարվածի անսպասելիությամբ,   զորաշարժի սրընթացությամբ, կրակի (խոցման) և շարժման անընդհատ զուգակցմամբ:   Ըստ գործողությունների ժամանակի Գ. լինում է ցերեկային և գիշերային, իսկ ըստ վարման   ուղղությունների՝ ճակատային, թևային, ինչպես նաև թիկունքից: Գ-ն սկսվում է ելման դիրքերից կամ Գ. անցնելու բնագծից՝ կախված Գ. անցնելու եղանակներից: 
ԳՐՈՀԱՅԻՆ ԽՈՒՄԲ (ՋՈԿԱՏ)	 ամրոցների (ամրացված շրջանների) վրա հարձակվելիս,   բնակավայրում, լեռներում և այլ պայմաններում մարտ վարելիս` լավ ամրացված առանձին  հենակետերի, դիմադրության օջախների և կարևոր օբյեկտների ոչնչացման համար կազմավորված ժամանակավոր խմբավորում: 
ԳՐՈՀԵԼ	 հակառակորդի ամրացված շրջանների, դիրքերի, հզոր պաշտպանական կառույցների (ամրոցների) ուժերի գերլարումով սրընթաց գրավումը: 
ԳՐՈՀԻ ԱՆԴՐԱԴԱՐՁՈՒՄ	 պաշտպանվող զորքերի կողմից իրականացվող մարտական  գործողություններ, որոնք վարվում են գրոհող հակառակորդին կանգնեցնելու, նրան առավելագույն կորուստներ հասցնելու և պաշտպանության ճեղքումը թույլ չտալու նպատակով: 
ԳՐՈՀԻ ԿՐԱԿԱՅԻՆ ԱՋԱԿՑՈՒԹՅՈՒՆ	 գրոհող զորքերից առաջ, հրետանու կրակով, հրթիռային զորքերի, ավիացիայի և այլ միջոցների հարվածներով հակառակորդին հաջորդաբար կրակով խոցելու փուլերից է: ԳԿԱ կարող է իրականացվել բոլոր խոցող միջոցներով միաժամանակ, լինել միայն հրետանային (հրթիռահրետանային) կամ միայն ավիացիոն: 
ԳՐՈՀԻ ԿՐԱԿԱՅԻՆ ՊԱՏՐԱՍՏՈՒԹՅՈՒՆ	 ցամաքային զորքերի գրոհից առաջ հակառակորդին կրակով խոցելու փուլը, որը ներառում է հրետանու կրակը, հրթիռային զորքերի,  ավիացիայի և այլ միջոցների հարվածները: ԳԿՊ կարող է իրականացվել բոլոր խոցող միջոցներով միաժամանակ, լինել միայն հրետանային (հրթիռահրետանային), իսկ ավելի հազվադեպ՝ միայն ավիացիոն: 
ԳՐՈՀԻՉ ԻՆՔՆԱԹԻՌ	 մարտի ժամանակ ցամաքային զորքերին անմիջականորեն օդային  աջակցություն ցուցաբերող մարտական ինքնաթիռ` նախատեսված վերգետնյա նշանակետերը, հատկապես տանկերը ոչնչացնելու համար: ԳԻ առաջին հաջողված տարբերակը եղել է  ռուս ավիակոնստրուկտոր Իլյուշինի ԻԼ-2 գրոհիչը՝ Երկրորդ աշխարհամարտի ժամանակ: 
ԳՈՒՄԱԿ	 նյութական միջոցները տեղափոխող, պահպանող և մատակարարող ձիաքարշ ստորաբաժանումների հավաքական անվանումը: 
ԳՈՒՄԱՐՏԱԿ	 զորքի ստորաբաժանում, որը բաղկացած է մի քանի վաշտերից: 
ԳՈՒՆԴ	 (պատմ.) ինքնուրույն մարտական գործողություններ վարող զորական միավոր:  Միջնադարյան հայ պատմիչներն ինքնուրույն գործողություններ վարող ցանկացած զորամաս, անկախ մեծությունից, կարող էին կոչել Գ. կամ զորագունդ: Այն հաճախ ընդամենը   ցույց էր տալիս, որ մարտին (ռազմերթին կամ այլ կարգի գործողությանը) չի մասնակցում   ամբողջ բանակը: 
ԳՈՒՐԶ	 հին հարվածային սառը զենք: Կարճ փայտյա բռնակի վրա նստեցված քարե կամ մետաղյա (առանձին դեպքերում՝ սուր ծայրերով) գլխիկ էր:  
ԴԱՇԻՆՔ	 համատեղ քաղաքական, տնտեսական, ռազմական կամ այլ գործունեություն   կատարելու նպատակով ստեղծվող պետությունների ժամանակավոր միություն: 
ՌԱԶՄԱԿԱՆ Դ.	 կոալիցիոն պատերազմ վարելու նպատակով ստեղծվող պետությունների   ժամանակավոր ռազմաքաղաքական միություն: 
ԴԱՍԱԼԻՔ	 զորամասը կամ ծառայության վայրը ինքնակամ լքող կամ էլ ծառայությունից խույս տալու նպատակով զինվորական ծառայությունից խուսափող զինծառայող: 
ԴԱՍԱԼՔՈՒԹՅՈՒՆ	 զինծառայողի կողմից զորամասի կամ ծառայության վայրի ինքնակամ   լքում կամ էլ զինվորական ծառայության չներկայանալը՝ ծառայությունից խույս տալու   նպատակով: 
ԴԱՍԱԿ	 զորական միավոր (ստորաբաժանում) վաշտի կազմում՝ բաղկացած մի քանի  ջոկերից: 
ԴԱՐԱՆ	 թաքնվելու, պահվելու տեղ հակառակորդի վրա հանկարծակի հարձակվելու կամ  հեռվից խոցելու համար: 
ԴԵՍԱՆՏ	 ռազմական գործողություններ վարելու համար հակառակորդի տարածք նետված զորք: 
ԴԵՏՈՆԱՑԻԱ	 տվյալ պայմաններում հնարավոր առավելագույն արագությամբ ընթացող  պայթյուն: Պայթուցիկ նյութերի մեծ մասն ի վիճակի է որոշակի արտաքին պայմաններում   դետոնացիա կատարել: Որոշ քանակությամբ պայթուցիկ նյութի դետոնացիա կարող է առաջացնել ուրիշ պայթուցիկ նյութի պայթյուն, նրան անմիջապես հպվող կամ նրանից որոշակի  հեռավորության վրա գտնվելու պայմաններում: Դրա վրա են հիմնվում ճայթիչ - դետոնատորի կառուցվածքը և օգտագործումը: Տարածության վրա դետոնացիայի հաղորդումը կապված է պայթուցիկ նյութի` շրջակա միջավայրում հարվածային ալիքի տարածմամբ: 
ԴԵՏՔ	 պաշտպանության ու հետախուզության համար զորքից առաջ ուղարկվող փոքր  ջոկատ: 
ԴԵՏՔԱՅԻՆ ՍՏՈՐԱԲԱԺԱՆՈՒՄ	 ուղարկվում է հետախուզությունը վարող կամ գլխավոր   ուժերից կտրված մարտական խնդիրը կատարող մարմիններից՝ հակառակորդին ժամանակին հայտնաբերելու և տեղանքը հետախուզելու համար: 
ԴԻԱԿԱՊՏՈՒԹՅՈՒՆ	 զինծառայողների կողմից մարտի դաշտում սեփական, դաշնակից  կամ հակառակորդի զոհվածների կամ վիրավորների, ինչպես նաև քաղաքացիական անձանց (խաղաղ բնակչության) իրերի բացահայտ կամ գաղտնի հափշտակում: Դ. է համարվում նաև մարտի դաշտից դուր հանվող վիրավորների իրերի հափշտակումը: 
ԴԻՆԱՄԻՏ (ՈՒԺԱՆԱԿ)	 նիտրոգլիցերինի և խտանյութերի հիման վրա ստացված բրիզանտային (փշրող, ջախջախող) պայթուցիկ նյութ: Օգտագործվել է մինչև XX դ. կեսերը, այնուհետև փոխարինվել է ավելի նվազ զգայուն պայթուցիկ նյութերով:
ԴԻՎԱՆԱԳԻՏԱԿԱՆ ՊԱՅՔԱՐ ՊԱՏԵՐԱԶՄՈՒՄ	 պատերազմող կողմերի դիվանագիտական   միջոցների օգտագործումը հակամարտությունը վարելիս իրենց համար նպաստավոր միջազգային իրադրություն ստեղծելու նպատակով: 
ԴԻՎԵՐՍԻԱ	 1. Ռազմական կողմնակի գործողություն՝ հակառակորդի ուշադրությունը գլխավոր հարվածի ռազմաբեմից հեռացնելու նպատակով: 2. Ռազմական և արդյունաբերական կարևոր օբյեկտների շարքից հանում: 
ԴԻՎԻԶԻԱ	 մի քանի գնդերից կամ բրիգադներից կազմված զորամիավորում: 
ԴԻՎԻԶԻՈՆ	 հրետանային զորքերի ստորաբաժանում: 
ԴԻՏԱԿԵՏ (ԴԿ)	 մարտակարգի այն տարրն է, որտեղից կատարում են հակառակորդի   և տեղանքի հետախուզում, հակառակորդի և մեր զորքերի գործողությունների դիտարկում: ԴԿ-ը կարող է լինել. 1. հրամանատարական (ՀԴԿ). 2. օժանդակ (կողային ԴԿ և առաջնային ԴԿ):
ԴԻՏԱՐԿՈՒՄ	 ստորաբաժանումների կողմից հակառակորդի գործողություններին հետևելու միջոցով իրականացվող հետախուզություն վարելու հիմնական միջոց: 
ԴԻՏՈՐԴ	 նշանակվում է հակառակորդին և տեղանքը հետախուզելու, ինչպես նաև բոլոր մարտատեսակներում, տեղաշարժվելիս և տեղում տեղաբաշխվելիս յուրային ստորաբաժանումների ու հարևանների գործողություններն ու դրությունը դիտարկելու համար: 
ԴԻՐՔ	 մարտ վարելու համար նախատեսված ամրաշինական կառույց կամ այդ նպատակով նախապատրաստված (կարող է լինել նաև չնախապատրաստված, սակայն զորքով զբաղեցված) տեղանքի հատված: Ժամանակակից մարտում Դ. ունենում են ամենափոքր ստորաբաժանումները կամ կրակային (խոցման) միջոցները, օրինակ` ջոկի Դ., կրակային Դ. և այլն: 
ԵԼՄԱՆ ԴՐՈՒԹՅՈՒՆ (ԿԵՏ	 ԲՆԱԳԻԾ), անհրաժեշտ է, որպեսզի ռազմերթի սկզբում զորամասը (ստորաբաժանումը) վերադասավորվի շարասյան, հավաքի սահմանած արագությունն ու կարգավորի ստորաբաժանումների (մեքենաների) միջտարածությունը: 
ԵՆԹԱՍՊԱ	 զինվորական կոչում: Զբաղեցնում է սերժանտների և սպաների միջև միջանկյալ տեղ: 
ԵՌԱԺԱՆԻ	 երեք ատամ՝ սուր ծայր ունեցող մարտական գործիք: 
ԵՐԹ (ՌԱԶՄԵՐԹ)	 զորքերի (զորամիավորումների, զորամասերի, ստորաբաժանումների) կազմակերպված տեղաշարժը ճանապարհներով կամ երթային ուղիներով նշված շրջան, բնագիծ դուրս գալու համար՝ պահպանելով մարտունակությունը:
ԵՐԹԱՅԻՆ ԿԱՐԳ (ԵՐԹԱԿԱՐԳ)	 զորքերի դասավորվածությունը ռազմերթ կատարելու համար: Ե. կազմված է պահպանության շարասյունից, գլխավոր ուժերից և տեխնիկական ապահովման ու թիկունքի ստորաբաժանումներից:
ԵՐԹԱՐՇԱՎ	 զորքերի (զորամիավորումների, զորամասերի, ստորաբաժանումների) կազմակերպված տեղաշարժը ճանապարհներով կամ երթային ուղիներով նշված շրջան, բնագիծ դուրս գալու համար՝ պահպանելով մարտունակությունը: 
ԶԱՎԹԵԼ	 զենքի ուժով տիրել, նվաճել: 
ԶԵՆԻԹԱՅԻՆ ԶԵՆՔ	 օդային նշանակետեր ոչնչացնող զենք: Որպես առանձին զինատեսակ ի հայտ Է եկել Առաջին աշխարհամարտի ժամանակ, ռազմական ավիացիայի կիրառմանը զուգահեռ: Տարբերակում են Զ. գնդացրային կայանքները, Զ. հրետանին, Զ. հրթիռային կայանքները, Զ. հրթիռային փոխադրվող համալիրները: 
Զ. ԳՆԴԱՑՐԱՅԻՆ ԿԱՅԱՆՔ	 ավտոմատ զենք, բաղկացած է մեկ կամ մի քանի (սովորաբար 2-4) գնդացիրներից (տրամաչափը՝ 12,7-23 մմ, մեկ փողի արագաձգությունը 500-800 կրակոց/րոպ., գնդակոծման ուղղաձիգ անկյունը 90Օ է, հորիզոնական անկյունը 360Օ), որոնք մոնտաժված են հատուկ հաստոցի վրա և ունեն զենիթային հրաձգության նշանառման ընդհանուր մեխանիզմներ և նշանոցի հարմարանքներ: Հրաձգությունը կատարվում է հիմնականում զրահահար հրկիզող և զրահահար հրկիզող լուսածրող գնդակներով: Երևան է եկել 1930-ական թթ.: ԶԳԿ-ով զինում են ցամաքային զորքերի զենիթային ստորաբաժանումները, տանկերը, նավերը: Ցամաքային զորքերի ԶԳԿ-ը տեղափոխում են կցովի հրետասայլերով կամ տեղակայում են հատուկ հաստոցների վրա:
Զ. ՀՐԵՏԱՆԻ	 օդային նշանակետեր ոչնչացնող հրետանային զենք: Գործածվում են 1914 թվականից:
Զ. ՀՐԹԻՌԱՅԻՆ (ՏԵՂԱՓՈԽՎՈՂ) ՀԱՄԱԼԻՐ	 նախատեսված է ցածր թռչող օդային նշանակետերը խոցելու համար: Առաջին ԶՀրՏՀ ընդունվել է ԱՄՆ բանակի և ծովային հետևակի կորպուսի սպառազինության մեջ 1965թ.: Ներկայումս ԶՀրՏՀ-ը փոքր տրամաչափի զենիթային հրետանային կայանքների հետ միասին համարվում է հետևակային և այլ ստորաբաժանումների, ինչպես նաև հրամանատարական կետերի և կարևոր նշանակության փոքր օբյեկտների ՀՕՊ միջոց:
ԶԵՆՔ	 հարձակողական կամ պաշտպանողական ռազմական գործիքների ամբողջություն: Լայն հասկացողությամբ կոչվում են զինված պայքարում հակառակորդին հաղթելու և ոչնչացնելու համար օգտագործվող բոլոր հարմարանքներն ու միջոցները:
ԱԿՈՍԱՎՈՐ Զ.	 զենք, որի փողանցքի ուղղորդ մասը արկին (գնդակին) պտտական շարժում հաղորդելու նպատակով պարուրակաձև ակոսներ ունի: Դրա շնորհիվ արկը (գնդակը) հետագծում կայունությունը չի կորցնում, ինչը հնարավորություն է ընձեռում հրաձգության համար բավարար հեռավորություն և խտություն ստանալ:
ԱՆՁՆԱԿԱՆ Զ.	 կարճ տարածությունների վրա ինքնապաշտպանության և հարձակման համար նախատեսված անհատական զենք: Մեր օրերում ԱԶ թվին են պատկանում ատրճանակները, ռևոլվերները, ինչպես նաև սվին-դանակները (դաշույնները), սրերը ևն:
ԱՎՏՈՄԱՏ Զ.	 վերալիցքավորումը կատարվում է վառոդի գազերի էներգիայի հաշվին: Վերալիցքավորումը և հերթական կրակոցն իրականացվում են ավտոմատ՝ ի հաշիվ վառոդային գազերի էներգիայի: 
ԹՄԲՈՒԿԱՎՈՐ Զ.	 փամփուշտների սնուցումը կատարվում է թմբուկից: Տարածված է հիմնականում ռևոլվերավոր ատրճանակների տեսքով: Թմբուկավոր զենքերի հիմնական թերությունը վերալիցքավորումն է (ձեռքով պարկուճների հեռացումը և թմբուկի լիցքավորումը բավական ժամանակ է պահանջում): 
ԻՆՔՆԱԼԻՑՔԱՎՈՐՎՈՂ Զ.	 կարելի է հրաձգությունը վարել միայն մենահատ կրակոցներով: Ինքնալիցք զենքն ունի պահեստատուփ, որից հերթական փամփուշտը յուրաքանչյուր կրակոցից հետո ավտոմատ ուղարկվում է փամփշտանոց, և հերթական կրակոցն իրականացնելու համար բավական է թողնել և կրկին սեղմել ձգանը:
ԻՆՔՆԱՁԻԳ Զ.	 կարելի է հրաձգությունը վարել կրակահերթերով և անընդհատ կրակով: Ինքնաձիգ զենքով կրակոցները հետևում են մեկը մյուսին, քանի դեռ չի թողնվել ձգանը կամ պահեստատուփում (ժապավենում) չեն վերջացել փամփուշտները:
ԻՆՔՆԱՇԵՆ Զ.	 անհատի կամ մի խումբ անձանց կողմից տնայնագործական եղանակներով (զենք արտադրելու համար չնախատեսված սարքավորումների և նյութերի կիրառմանբ) պատրաստված զենք:
ԽՄԲԱԿԱՅԻՆ Զ.	 անձնակազմի (հաշվարկի) կողմից սպասարկվող զենք, որոնք նախատեսված են հիմնականում մեծ հեռավորության վրա հակառակորդին խոցելու համար: Հին և միջին դարերում ԽԶ պարսպակործան, քարանետ ու նիզականետ մեքենաներն էին:
ԿԱՅԾՔԱՐԵ ԿՈՂՊԵՔՈՎ Զ.	 17,5-21,5 մմ տրամաչափի, 4-6 կգ քաշով և 140-200 մ հրաձգության հեռահարությամբ ձեռքի հրազեն (ատրճանակ, հրացան): Հայտնվել է պատրույգավոր հրացանից հետո: XIX դ. կեսերին փոխարինվել է պատիճավոր Զ-ով: 
ՀԱՐԹԱՓՈՂ Զ.	 զենք, որի փողանցքը հարթ է: Մինչև XIX դ. կեսերը գրեթե ամբողջ հրազենը եղել է հարթափող և փողաբերանից լիցքավորվող, կրակում էր գնդաձև գնդակներով (պատրույգավոր՝ մուշկետ, կայծքարի կողպեքով՝ հրացան կամ ատրճանակ ևն): Փոխարինվել է ակոսավոր զենքով: 1720-ական թթ. Արցախում և Սյունիքում կազմակերպվել է ՀԶ (այդ թվում՝ հրանոթների) արտադրություն, որով զինվում էին ազատագրական պայքարի մարտիկները:
ՀՐԱՁԳԱՅԻՆ Զ.	 զենք, որում փողից գնդակի (արկի) դուրս նետումը կատարվում է վառոդի գազերի էներգիայի օգտագործմամբ: 
ՀՐԿԻԶՈՂ Զ.	 հակառակորդի վրա անմիջականորեն հրկիզող նյութերով ազդող և դրանցով հրդեհներ առաջացնող զենք: Ներառում է զինամթերքը (հրահեղուկ խառնուրդը) և նշանակետին հասցնելու միջոցը: 
ՃԱՆԿՄԱՆ Զ.	 թիակավոր և առագաստային նավատորմերում ճանկումով հակառակորդի նավը գրավելու ժամանակ օգտագործվող սառը կամ հրաձգային զենք:
ՆԵՏՈՂ Զ.	 հին և միջին դարերում հակառակորդի կենդանի ուժը ոչնչացնելու և պաշտպանական կառույցներն ավերելու նպատակով կիրառվող ռազմական մեքենաներ: Նետող մեքենաների կառուցվածքը հիմնված է ոլորված և ձգված թելքերի (ջլեր, մազեր ևն) էներգիայի օգտագործման վրա: Նետող մեքենաները հայտնի էին դեռ Հին Արևելքում (Ասորեստանում, Հնդկաստանում ևն), Հին Հունաստանում և, հատկապես, Հին Հռոմում, որտեղ այդ մեքենաները բաժանվում էին բալիստների և կատապուլտների: V դարում Բյուզանդիայում սկսեցին կիրառել նետող մեքենաների նոր տեսակ՝ ֆրանդիբոլը:
ՈՉ ԱՎՏՈՄԱՏ Զ.	 վերալիցքավորումը կատարվում է հրաձիգի ջանքով: Լինում են միալիցք, տուփով և թմբուկավոր (ռևոլվերներ, սպորտային հրացաններ և այլն): 
ՊԱՀԵՍՏԱՏՈՒՓԱՅԻՆ Զ.	 փամփուշտների սնուցումը կատարվում է փամփշտատուփից: Փամփշտատուփը կարող է լինել ուղղանկյուն, կլոր սկավառակային, շնեկային ևն:
ՌԵԱԿՏԻՎ Զ.	 զենք, որից հրաձգությունը կատարվում է ռեակտիվ (ինքնաշարժ) արկով: 
ՍԱՌԸ Զ.	 ձեռնամարտի զենք: Պայմանականորեն դասակարգվում է. ըստ կառուցվածքի՝ շեղբավոր (դաշույն, թուր, սուր, սուսեր, դանակ, սվին ևն), կոթավոր (սակր, գեղարդ, նիզակ, տեգ ևն) և հարվածային (գուրզ, տապար ևն): Ըստ խոցման՝ ծակող, հատող, ծակող-հատող, ծակող-կտրող, հարվածող-հատող և հարվածող-փշրող: ՍԶ հայտնի է հնուց, և մինչև այժմ էլ նրա որոշ նմուշներ օգտագործվում են զորքերում (դաշույն, դանակ, սվին, սուսեր):
ՏՈՒՓԱՎՈՐ Զ.	 փամփուշտների սնուցումը կատարվում է տուփից: Տուփը, որպես կանոն, փամփուշտներով լիցքավորվում է պահունակի օգնությամբ:
ՈՒՍՈՒՄՆԱԿԱՆ Զ.	 նախատեսված է հրազենի նյութական մասի, հրաձգության եղանակներն ու կանոններն ուսումնասիրելու համար: 
ԶԵՆՔԻ ՀԵՏՄՂՈՒՄ	 կոչվում է զենքի (փողի) շարժումը դեպի հետ կրակոցի ժամանակ: 
ԶԵՆՔԻ ՎԵՐԱԼԻՑՔԱՎՈՐՈՒՄ	 զենքը հաջորդ կրակոցին պատրաստելու գործընթաց: 
